title,status,genres,favorites,popularity,rank,score,authors
The Infinite Mage,Publishing,"Action, Adventure, Fantasy",43,#3463,#2969,7.48,"Themis (Art), Kim, Chiwoo (Story)"
Like Wind on a Dry Branch,Publishing,"Drama, Fantasy, Romance",46,#4862,#3008,7.48,"Dalsaeowl (Story), Hwaeum (Art)"
Our Paradise,Finished,"Love, Drama",18,#18550,#3009,7.48,"Cheong, Nagwon (Story & Art)"
Sad Love Song,Finished,"Drama, Romance",20,#9360,#3034,7.47,"Shin, Ji-Sang (Story & Art), Geo (Story & Art)"
Jungle Juice,Publishing,"Action, Fantasy",98,#2911,#3062,7.47,"Juder (Art), Hyeong Eun (Story)"
The Ember Knight,Publishing,"Action, Adventure, Fantasy",45,#7295,#3063,7.47,Hwandaeng (Story & Art)
After Ten Millennia in Hell,Publishing,"Action, Fantasy",101,#1874,#3066,7.47,"Nabi Gyegok (Story), 4Player (Art)"
I Thought My Time Was Up!,Publishing,"Fantasy, Romance",10,#11241,#3067,7.47,"Choi, Ari (Story), Essie (Art)"
Zippy Ziggy,Finished,Comedy,112,#2380,#3129,7.46,"Kim, Yeong-Eun (Story), Hwang, Seung-Man (Art)"
Vampire Library,Publishing,"Action, Love, Supernatural",31,#6610,#3150,7.46,"Lee, Sun-Young (Story & Art)"
My Daughter Is a Zombie,Finished,Comedy,12,#19494,#3158,7.46,"Lee, Yunchang (Story & Art)"
To Not Die,Publishing,"Action, Drama",37,#7608,#3159,7.46,"Parae (Story), Lim, Jinguk (Art)"
Terror Man,Finished,"Action, Supernatural",32,#7282,#3160,7.46,"Go, Jin-Ho (Art), Han, Dongwoo (Story)"
Mythic Item Obtained,Publishing,"Action, Fantasy",44,#2906,#3161,7.46,"Jeong, Seonyul (Story), Hess (Art)"
The World After the Fall,Publishing,"Action, Fantasy",101,#1414,#3164,7.45,"sing N song (Story), Undead Gamja (Art)"
My Royal Awakening,Finished,Drama,4,#18723,#3165,7.45,"Kim, Tae-Hyung (Art), Gusa (Story)"
Pink Lady,Finished,"Romance, Life",26,#4268,#3196,7.45,"Woo, Yeong-Wook (Story & Art), Suna (Art)"
Peak,Finished,"Action, Drama",25,#5280,#3212,7.45,"Hong, Seong-su (Story), Im, Gang-hyeok (Art)"
Pig Bride,Finished,"Comedy, Romance",47,#4872,#3242,7.45,"Huh, Gook Hwa (Story), Kim, Su-Jin (Art)"
Swimming Lessons for a Mermaid,Finished,"Romance, Supernatural",31,#7834,#3295,7.44,Yongchan (Story & Art)
Our Beloved Summer,Finished,Romance,14,#10914,#3296,7.44,"Han, Kyoung-chal (Story & Art)"
Days of Hana,Finished,"Drama, Romance, Supernatural",35,#10343,#3297,7.44,"Kang, Seok Woo (Story & Art)"
Oh! Holy,Finished,"Romance, Supernatural",30,#6750,#3298,7.44,Ah Hyun (Story & Art)
Revolutionary Princess Eve,Publishing,"Drama, Fantasy",13,#6965,#3299,7.44,"Irinbi (Story), Sagong (Art)"
Finding Camellia,Publishing,"Fantasy, Romance",11,#10878,#3300,7.44,"Jin, Soye (Story), Surreuk Comics (Art)"
Delusion,Finished,"Mystery, Supernatural, Suspense",12,#18810,#3352,7.42,"Hong, Jac-Ga (Story & Art)"
Promise of an Orchid,Finished,Supernatural,18,#7784,#3353,7.43,"Park, Jin-Hwan (Art), Jung, Hyun-Joo (Story)"
Crowning a Spoiled Prince,Publishing,"Fantasy, Romance",12,#10601,#3354,7.43,"Wheedrian (Story), Jonadan (Art)"
A Kiss to the Prince,Finished,"Comedy, Drama, Romance",70,#2459,#3371,7.43,"Kim, Hee Eun (Story & Art)"
Idol Shopping,Finished,"Comedy, Drama, Romance",46,#3872,#3379,7.43,"Hwang, Mi Ri (Story & Art)"
Mookhyang: Dark Lady,Publishing,"Action, Adventure, Fantasy",42,#5914,#3403,7.43,"Jeon, Dong-jo (Story), Gugit (Art)"
Itaewon Class,Finished,Drama,12,#15910,#3412,7.42,Kwang Jin (Story & Art)
Mawang Ilgi,Finished,"Action, Adventure, Love, Comedy, Drama, Fantasy",221,#2515,#3420,7.42,"Kara (Art), Lee, Ji Hyong (Story), Lee, Soome (Story), Lee, Yun-hee (Story)"
I Am the Real One,Publishing,"Fantasy, Romance",22,#4370,#3462,7.42,"Samwol (Story), Yuun (Art)"
Study Group,Publishing,Action,56,#3315,#3463,7.42,"Shin, Hyungwuk (Story), Ryu, Seungyeon (Art)"
Heavenly Demon Reborn!,Publishing,"Action, Fantasy",43,#4841,#3464,7.42,"Ilhwang (Story), Gomguck (Art)"
I'm the Queen in This Life,Publishing,"Fantasy, Romance",14,#8582,#3467,7.42,"Lefaljinf (Story), Themis (Art)"
An Eye for an Eye,Finished,"Action, Drama",39,#5752,#3482,7.42,Byeongjang (Story & Art)
"Goodbye, In-Law!",Finished,"Comedy, Drama, Romance",13,#12748,#3533,7.41,Gyogyo Park (Story & Art)
The Academy's Undercover Professor,Publishing,Fantasy,27,#3700,#3573,7.41,"Sayren (Story), WAG (Art)"
Revelation of Youth,Publishing,Romance,8,#18750,#3577,7.41,Hanseo (Story & Art)
Angel Buddy,Finished,"Love, Supernatural",8,#12278,#3579,7.4,"MasterGin (Story), Chungnyun (Art)"
I Only Want to Beat You,Publishing,Comedy,9,#15375,#3580,7.4,"Amadoji (Story), Sasak (Art)"
Who Invited You?,Finished,"Comedy, Drama, Romance",23,#9190,#3587,7.4,"Lee, Yun-hee (Story & Art)"
Smile Brush: My Old Pictures,Finished,"Comedy, Life",12,#15788,#3602,7.4,Waroo (Story & Art)
Priest,Finished,"Action, Fantasy, Horror, Supernatural",126,#3021,#3663,7.39,"Hyung, Min-Woo (Story & Art)"
Kiss Me Princess,Finished,"Love, Fantasy, Romance",52,#4535,#3666,7.39,"Kim, Se-Young (Story & Art)"
Change Guy,Finished,Action,30,#5991,#3673,7.39,"Son, Eun-Ho (Story), Choi, Myung-Soo (Art)"
Survive as the Hero's Wife,Finished,"Fantasy, Romance",47,#3151,#3704,7.39,"Nokki (Story), AhBin (Art)"
A Wicked Tale of Cinderella's Stepmom,Publishing,"Fantasy, Romance",15,#7770,#3705,7.39,"Kiarne (Story), Sunset (Art)"
Who Can Define Popularity?,Publishing,"Love, Comedy",7,#20642,#3706,7.39,Takbon (Story & Art)
Mad Dog,Publishing,"Love, Drama",11,#12220,#3707,7.39,Haribo (Story & Art)
The Villainess's Stationery Shop,Publishing,Fantasy,17,#6673,#3708,7.39,"Yeo, Roeun (Story), Min, Jeolmi (Art)"
The Baengri Clan's Unwanted Granddaughter,Publishing,Fantasy,6,#14198,#3709,7.39,"Siyo (Art), Marubyeol (Story)"
Hwaja,Finished,"Drama, Mystery, Romance, Life",39,#5434,#3748,7.39,"Hong, Jac-Ga (Story & Art)"
It's Mine,Finished,Suspense,42,#6781,#3769,7.38,Lucks (Story & Art)
Chasing Tails,Publishing,Mystery,11,#19837,#3770,7.38,Bashi (Story & Art)
Child of the Sheath,Publishing,"Action, Adventure, Fantasy",16,#12483,#3771,7.38,"Yang, Kyung-il (Art), Kim, Hyung Min (Story)"
Becoming the Dark Hero's Daughter,Publishing,Fantasy,7,#9195,#3772,7.38,"Lisabel (Story), Pina (Art)"
Evyione,Finished,Romance,15,#9997,#3788,7.38,"Kim, Young Hee (Story & Art)"
Tong: Vanity,Finished,"Action, Drama",5,#26568,#3850,7.37,"Baek, Seung Hoon (Art), Meen (Story)"
July Found by Chance,Finished,"Drama, Romance, Supernatural",14,#17443,#3865,7.37,Muryu (Story & Art)
The Queen's Knight,Finished,"Adventure, Fantasy, Romance",38,#6579,#3870,7.37,"Kim, Kang-Won (Story & Art)"
Masters of Lightning Knives,Publishing,Action,35,#7922,#3897,7.37,"Awin (Art), Geom, Ryuhon (Story), Ozoo (Story)"
Refund High School,Finished,Fantasy,22,#11588,#3898,7.37,Croissant (Story & Art)
Superhuman Era,Publishing,Action,8,#14402,#3899,7.37,Seop-I (Story & Art)
Not-Sew-Wicked Stepmom,Publishing,Fantasy,17,#6153,#3900,7.37,"Ilu (Story), Moguraeng (Art)"
The Queen's Knight,Finished,"Adventure, Fantasy, Romance",38,#6580,#3916,7.37,"Kim, Kang-Won (Story & Art)"
Cutie Boy,Finished,"Comedy, Romance",53,#2971,#3927,7.37,"Hwang, Mi Ri (Story & Art)"
Antique Romance,Finished,"Drama, Romance",13,#4661,#3933,7.37,"Kimi, Mi-jung (Story & Art)"
Vanilla Ice,On Hiatus,"Comedy, Romance",11,#7330,#3960,7.36,"Kim, Woo Hyun (Story & Art)"
Boy of the Female Wolf,Finished,"Comedy, Romance",59,#2667,#3983,7.36,"Han, Yu-Rang (Story & Art)"
Blooming Sequence,Finished,Love,16,#16224,#3995,7.36,Lee Eul (Story & Art)
Tomb Raider King,Finished,"Action, Adventure, Fantasy",408,#701,#3998,7.36,"Sanji Jiksong (Story), 3B2S (Art)"
Song of the Cloud,Finished,"Drama, Romance, Life",10,#6530,#4010,7.36,Horang (Story & Art)
God of Bath,Finished,"Comedy, Drama, Life",39,#5642,#4018,7.36,"Ha, Il-Kwon (Story & Art)"
Nano List,Finished,"Drama, Sci-Fi",17,#10895,#4037,7.36,"Min, Song-A (Story & Art)"
I Married the Male Lead's Dad,Publishing,"Fantasy, Romance",10,#6697,#4038,7.36,"Go, Eunchae (Story), Eongsseu (Art)"
Ending Maker,Publishing,"Action, Fantasy, Romance",23,#6468,#4039,7.36,"Chwiryong (Story), Does (Art)"
There Is No Place for Fakes,Publishing,"Fantasy, Romance",10,#13425,#4040,7.36,"Logo (Art), Oaen (Story)"
The Return of the 8th Class Mage,Finished,"Action, Fantasy",40,#2234,#4044,7.35,"Ryu Song (Story), Tess (Art)"
The Return of the Disaster-Class Hero,Publishing,"Action, Fantasy",56,#1779,#4045,7.35,"Sanji Jiksong (Story), Lee, Beomgeun (Art)"
Ashtarte,Publishing,"Fantasy, Romance",6,#13482,#4046,7.35,"Andaon (Story), SOON (Art)"
Revenge of the Iron-Blooded Sword Hound,Publishing,"Action, Fantasy",24,#4736,#4047,7.35,"Lego Babasseo (Story), Seol, Arang (Art)"
Rebirth,Finished,"Action, Adventure, Fantasy, Supernatural",84,#6640,#4080,7.35,"Lee, Kang-Woo (Story & Art)"
Sugar Addiction,Finished,"Comedy, Drama, Romance",7,#11060,#4083,7.35,"Maria (Story & Art), Gong, GooGoo (Story & Art)"
Tong,Finished,"Action, Drama",14,#15477,#4111,7.35,"Baek, Seung Hoon (Art), Meen (Story)"
Save Me,Finished,Drama,29,#10870,#4115,7.35,1230 (Story & Art)
Trace 1.5: Communicator,Finished,"Action, Drama, Fantasy, Sci-Fi, Supernatural",12,#12493,#4132,7.35,"Go, Yeong-Hun (Story & Art)"
Zero,Finished,"Action, Sci-Fi, Supernatural",36,#3503,#4171,7.34,"Park, Sung-Woo (Story & Art), Im, Dal Young (Story)"
Sarasah,Publishing,"Comedy, Drama, Romance",29,#8125,#4183,7.34,"Ryu, Riang (Story & Art)"
Manager Kim,Publishing,Action,27,#4791,#4194,7.34,"Toy (Story), Jeong, Jongtaek (Art)"
Act Like You Love Me!,Publishing,"Comedy, Romance, Supernatural",27,#6783,#4195,7.34,Xuann (Story & Art)
The Little Lady Behind the Scenes,Publishing,"Fantasy, Romance",9,#9263,#4196,7.34,"Yehwon (Story), Chunghae (Art)"
Yeonwoo's Innocence,Publishing,Drama,19,#14098,#4198,7.34,Esol (Story & Art)
Parallel City,Publishing,"Action, Sci-Fi, Suspense",12,#20168,#4259,7.33,Goda (Story & Art)
The Girl Downstairs,Finished,Romance,31,#9013,#4261,7.33,"Min, Song-A (Story & Art)"
No Longer a Heroine!,Finished,Drama,6,#16450,#4262,7.33,"Ki, Maenggi (Story & Art)"
The Rewards of Marriage,Publishing,"Fantasy, Romance",9,#7525,#4263,7.33,"Choam (Story), Seochon (Art)"
Kill the Villainess,Publishing,"Drama, Fantasy",27,#4435,#4264,7.33,"Sawol Saeng (Story), Haegi (Art)"
Charming the Duke of the North,Publishing,"Fantasy, Romance",11,#7758,#4265,7.33,"Ju, Siha (Story), Eunhasu (Art)"
Existence,Publishing,"Action, Drama, Supernatural",47,#2965,#4266,7.33,"Kwang Jin (Story), Kim, Kyeongjun (Art)"
Reality Quest,Publishing,"Action, Supernatural",19,#5513,#4267,7.33,"Lee, Joowoon (Story), Taeseong (Art)"
Full House,Finished,"Comedy, Romance",14,#8123,#4295,7.33,"Won, Soo-yeon (Story & Art)"
Do You Want to Try?,Finished,"Comedy, Drama, Romance",57,#3364,#4296,7.33,"Cha, Kyung Hee (Story & Art)"
Abide in the Wind,Finished,"Action, Adventure, Drama, Fantasy, Romance",55,#3763,#4350,7.33,Shinweol (Story & Art)
I'm Looking for the Princess,Finished,"Comedy, Drama, Romance",5,#12753,#4366,7.32,"Han, Yu-Rang (Story & Art)"
My Boyfriend Is a Vampire,Finished,"Drama, Romance",74,#2969,#4367,7.32,"Han, Yu-Rang (Story & Art)"
Dark Air,Finished,"Action, Adventure, Fantasy",32,#3337,#4375,7.32,"Park, Min-Seo (Story & Art)"
For the Sake of Sita,Finished,"Drama, Romance",27,#5420,#4387,7.32,Haga (Story & Art)
Dokgo 2,Finished,"Action, Drama",6,#13908,#4401,7.32,"Baek, Seung Hoon (Art), Meen (Story)"
I Was Tricked Into This Fake Marriage!,Finished,"Fantasy, Romance",22,#6726,#4425,7.32,"Park, Haedam (Story), Baejeup (Art)"
I Stan the Prince,Publishing,"Comedy, Fantasy, Romance",23,#7877,#4426,7.32,Jukseon (Story & Art)
I Was Tricked Into This Fake Marriage!,Finished,"Fantasy, Romance",22,#6726,#4425,7.32,"Park, Haedam (Story), Baejeup (Art)"
I Stan the Prince,Publishing,"Comedy, Fantasy, Romance",23,#7877,#4426,7.32,Jukseon (Story & Art)
Descended from Divinity,Publishing,"Action, Fantasy",13,#5173,#4427,7.32,"Sancheon (Story), Altoran (Art), Upu (Art)"
If AI Ruled the World,Finished,Sci-Fi,8,#21689,#4428,7.32,"Pogo (Story), Hoopa (Art)"
My Daughter Is the Final Boss,Publishing,"Action, Fantasy",15,#4299,#4429,7.32,"Geulsseunya (Story), RK Studio (Art)"
Castle,Finished,Action,2,#17656,#4430,7.32,Jeong Yeon (Story & Art)
Sigrid,Publishing,"Action, Fantasy, Romance",8,#15785,#4432,7.32,"Siya (Story), Glee (Art)"
For the Sake of Sita,Finished,"Drama, Romance",27,#5420,#4387,7.32,Haga (Story & Art)
Supernatural Investigation Department,Finished,"Action, Comedy, Mystery, Supernatural",25,#5007,#4552,7.31,"Da-Ham, Sa (Story & Art)"
DVD,Finished,"Comedy, Romance, Life",22,#14823,#4495,7.31,"Chon, Kye Young (Story & Art)"
Dear Waltz,Finished,"Romance, Life",3,#15426,#4514,7.31,"Yoon, Ji Woon (Story & Art)"
Random Chat,Publishing,"Action, Drama",121,#5166,#4582,7.31,"Park, Eun Hyuk (Story & Art)"
Karina's Last Days,Publishing,"Drama, Fantasy, Romance",18,#8466,#4583,7.31,"Ja, Eunhyang (Story), Kimpeul (Art)"
Rumor Has It,Finished,Romance,6,#14908,#4584,7.31,Sungeo (Story & Art)
Efforts Never Betray,Finished,Drama,6,#23031,#4585,7.31,Akpa (Story & Art)
My Gently Raised Beast,Finished,"Fantasy, Romance",35,#4402,#4587,7.3,"Ireun-kkot (Story), Yeo-seulgi (Art)"
Your Smile is a Trap,Publishing,"Comedy, Romance",22,#9643,#4590,7.3,Aengo (Story & Art)
The Villainess Is Retiring,Publishing,"Fantasy, Romance",2,#8379,#4591,7.3,"Kim, Daham (Story), Bebe (Art)"
My Darling Signed In,Finished,Love,21,#12633,#4656,7.3,"New Lung (Story), Dimang (Art)"
Magical JxR,Finished,"Adventure, Comedy, Drama, Fantasy, Romance, Supernatural",20,#10767,#4626,7.3,"Lee, Sun-Young (Story & Art)"
Moon Boy,Finished,"Action, Comedy, Drama, Fantasy, Romance, Supernatural",32,#8286,#4706,7.29,"Lee, Young-You (Story & Art)"
Shaman Warrior,Finished,"Action, Adventure, Drama, Fantasy",36,#3734,#4711,7.29,"Park, Joong-Ki (Story & Art)"
Daddy Long Legs,Finished,"Drama, Romance",3,#10813,#4727,7.29,"Do, Chan (Story & Art)"
Wait!! Wolf,Finished,Comedy,12,#10523,#4736,7.29,"Hwang, Mi Ri (Story & Art)"
My Life's Tackle,Finished,"Comedy, Romance",10,#9181,#4737,7.29,"Hwang, Mi Ri (Story & Art)"
Back to You,Finished,"Drama, Romance, Supernatural",19,#10153,#4741,7.29,Honey Bee (Story & Art)
The Legendary Moonlight Sculptor,Publishing,"Action, Adventure, Fantasy",29,#4364,#4744,7.29,"Kim, Tae-Hyung (Art), Nam, Heesung (Story), Shin C (Art), Park, Jeongyeol (Art)"
The Blood of the Butterfly,Finished,"Action, Fantasy",15,#12428,#4745,7.29,Remin (Story & Art)
Elixir of the Sun,Publishing,"Drama, Fantasy, Romance",4,#16393,#4746,7.29,"Solddam (Story), Song Yi (Art)"
Dungeon Odyssey,Publishing,"Action, Fantasy",24,#5821,#4748,7.29,"Glump (Story), Son, Minwoo (Art)"
Warrior High School: Dungeon Raid Department,Publishing,"Action, Fantasy",12,#5019,#4749,7.29,"Munsik (Story), Jutama (Art)"
Lessa,Finished,"Action, Supernatural",33,#8508,#4795,7.29,Pogo (Story & Art)
A Shoulder to Cry On,Finished,Love,16,#13678,#4803,7.29,Dongmul (Story & Art)
The Sword of Emperor,Finished,"Action, Fantasy",21,#8417,#4913,7.28,
A Man's Man,Publishing,Drama,14,#16648,#4826,7.28,"Dogado (Art), Kim, Taegung (Story)"
FFF-Class Trashero,Publishing,"Action, Adventure, Fantasy",104,#2319,#4827,7.28,"Parnar (Story), Kkangmu (Art)"
Touch My Little Brother and You're Dead,Publishing,"Comedy, Fantasy",33,#8246,#4828,7.28,"Morpho (Story), Webjak Toonga (Art)"
Relationship Guidelines,Finished,Love,18,#14024,#4829,7.28,Epum (Story & Art)
The Strongest Characters in the World Are Obsessed with Me,Publishing,Fantasy,6,#8462,#4830,7.28,"Kim, Kokkiri (Story), Zion (Art)"
Doctor's Rebirth,Publishing,"Action, Fantasy",9,#5874,#4831,7.28,"Taesun (Story), Dobin (Art)"
Neck and Neck,Finished,"Comedy, Romance",10,#12262,#4850,7.28,"Lee, Sun Hee (Story & Art)"
Chunchu: The Genocide Fiend,Finished,"Action, Adventure, Fantasy, Supernatural",49,#5529,#4864,7.28,"Kim, Sungjae (Story), Kim, Byung Jin (Art)"
The Moment When a Fox Becomes a Wolf,Finished,"Action, Comedy, Drama, Romance",13,#6235,#4873,7.28,"Hwang, Mi Ri (Story & Art)"
Love and Leashes,Finished,"Comedy, Drama, Romance, Life",24,#9530,#4842,7.28,Gyeoul (Story & Art)
Suicide Boy,Publishing,"Comedy, Life",585,#1536,#4813,7.28,Parkgee (Story & Art)
The Love Doctor,Finished,Love,12,#18435,#4965,7.27,"Chamsae (Story), Bansook (Art)"
Forget About Love,Finished,"Comedy, Romance",7,#9238,#5018,7.27,"Lee, Sang-Eun (Story & Art)"
SiESTA,Finished,"Fantasy, Romance, Supernatural",14,#8075,#4926,7.27,"Lee, Young-You (Story & Art)"
The Story of a Low-Rank Soldier Becoming a Monarch,Publishing,"Action, Fantasy",6,#7493,#4973,7.27,"Soul Pung (Story), 2631 (Art)"
An Hour of Romance,Publishing,"Comedy, Romance",7,#19264,#4974,7.27,"Kim, Myeongmi (Story & Art)"
"Forget About My Husband, I'd Rather Go Make Money",Publishing,"Fantasy, Romance",5,#11376,#4976,7.27,"Ju, Haeon (Story), Molko (Art)"
I'm Being Raised by Villains,Publishing,"Fantasy, Romance",3,#17329,#4978,7.27,"Ja, Eunhyang (Story), Lee, Asong (Art)"
Cheonnyeon Kumiho,Finished,"Adventure, Comedy, Fantasy, Romance, Supernatural",29,#8259,#4989,7.27,Giryang (Story & Art)
Yeonae Hyeokmyeong,Publishing,"Comedy, Drama, Romance, Life",41,#10713,#5124,7.26,232 (Story & Art)
The Grand Mudang Saga,Publishing,"Action, Fantasy",8,#7073,#5130,7.26,"Eunyeol (Story), Hwaram (Art)"
My Cute Beast!,Finished,"Comedy, Romance",3,#21205,#5132,7.26,"Heim (Story), Jeong, Haesol (Art)"
The Gourmet Gamer,Publishing,"Fantasy, Gourmet",4,#19070,#5133,7.26,"Kidari Studio (Art), In, Key-young (Story)"
To Be an Actor,Publishing,Drama,3,#25170,#5137,7.26,"Gogwang (Story), Dusi (Art)"
Master Villainess the Invincible!,Publishing,"Action, Fantasy",12,#9262,#5144,7.25,"Willbright (Story), Yooani (Art)"
Baroness Goes on Strike,Publishing,"Fantasy, Romance",7,#7856,#5145,7.25,"Go, Eunchae (Story), Song, Yeseul (Art)"
The Divine Surgeon,Publishing,Drama,5,#11618,#5146,7.25,"Park, Dongshin (Story), Choi, Byungick (Art)"
Tong: Classified,Finished,"Action, Drama",2,#26048,#5227,7.25,"Baek, Seung Hoon (Art), Meen (Story)"
Lady Detective,Finished,"Mystery, Romance",7,#11881,#5156,7.25,"Lee, Gi Ha (Art), Jeon, Hye Jin (Story)"
Peter Panda,Finished,"Comedy, Drama, Romance, Supernatural",11,#12668,#5191,7.25,"Na, Yeri (Story & Art)"
Romance Papa,Finished,"Comedy, Drama, Romance",8,#17528,#5195,7.25,"Lee, Youngran (Story & Art)"
Snow Drop,Finished,"Drama, Romance, Life",42,#6951,#5277,7.24,"Choi, Kyung-ah (Story & Art)"
MANA,Finished,Supernatural,23,#9159,#5287,7.24,"Lee, Vin (Story & Art)"
Volcanic Age,Publishing,"Action, Adventure, Fantasy",22,#5608,#5323,7.24,"Jeong, Jun (Story), Tomassi (Art)"
Questism,Publishing,"Action, Supernatural",34,#4215,#5324,7.24,"Yununi (Story), Taewan (Art)"
Please Marry Me Again!,Publishing,"Fantasy, Romance",4,#12119,#5325,7.24,"Rana (Story), Paragu (Art)"
Reborn Rich,Publishing,Drama,8,#17510,#5326,7.24,"Kim, Byung-gwan (Art), Sangyeong (Story)"
Solo Farming in the Tower,Publishing,Fantasy,9,#14670,#5327,7.24,"sdcknight (Story), Lee, Hakyung (Art)"
Wait Where the Shooting Star Falls,Publishing,"Adventure, Drama, Fantasy, Romance",26,#19048,#5374,7.24,Manmulsang (Story & Art)
Jazz for Two,Finished,"Love, Drama",7,#15623,#5377,7.24,Clarju (Story & Art)
Nowhere Boy,Finished,"Action, Comedy, Drama, Fantasy",22,#5298,#5351,7.24,"Jung, Pil Won (Story & Art)"
Delinquent Cinderella,Finished,"Comedy, Romance",7,#7901,#5495,7.23,"Hwang, Mi Ri (Story & Art)"
Ghost Wife,Finished,"Romance, Supernatural",22,#11537,#5407,7.23,Sejung (Story & Art)
"As You Wish, Prince",Finished,"Fantasy, Romance",21,#7646,#5408,7.23,"Ant Studio (Art), Mokgamgi (Story)"
Return to Player,Publishing,"Action, Fantasy",40,#3342,#5409,7.23,"Index (Story), Sehon (Art)"
After the Curtain Call,Finished,"Drama, Love",5,#25475,#5410,7.23,"Jina (Art), Assam (Story)"
The Frozen Player Returns,Publishing,"Action, Adventure, Fantasy",20,#2614,#5411,7.23,"JerryM (Story), Silsil (Art)"
Solitary Lady,Publishing,"Drama, Fantasy, Romance",20,#5606,#5412,7.23,"Kin (Story), Mingsung (Art), ZI.O (Art)"
Demon Devourer,Publishing,"Action, Fantasy",8,#4685,#5413,7.23,"Ppang Meongneunda Ramjwi (Story), DJ Gongnyong (Art)"
The Hero's Savior,Publishing,Fantasy,3,#13840,#5414,7.23,"Eun, Soro (Story), Team Happy Gery (Art)"
Love Like Crazy,Finished,"Drama, Romance",2,#7871,#5448,7.23,"Hwang, Mi Ri (Story & Art)"
Raiders,Finished,"Action, Fantasy, Horror, Mystery, Supernatural",13,#8277,#5452,7.23,"Park, Jin-Jun (Story & Art)"
Smile Brush,Finished,"Comedy, Life",7,#16470,#5417,7.23,Waroo (Story & Art)
Imitation,Finished,Romance,23,#12225,#5427,7.23,"Park, Kyun-Ran (Story & Art)"
The Moon That Rises in the Day,Finished,"Drama, Romance, Supernatural",19,#11741,#5386,7.23,Heyum (Story & Art)
Mosquito War,Finished,"Action, Sci-Fi",16,#7474,#5546,7.22,"Jeong, Ji-Hoon (Story & Art)"
Girl Queen,Finished,"Fantasy, Romance",39,#8086,#5574,7.22,"Kim, Yeon-Joo (Story & Art)"
Advent of Snow White of the Hell,Finished,Comedy,12,#10375,#5612,7.22,"Hwang, Mi Ri (Story & Art)"
Hannune Banhada! Season 2,Finished,"Comedy, Drama, Romance, Supernatural",4,#20712,#5510,7.22,"Lee, Shi Young (Story & Art)"
Welcome to Room #305!,Finished,"Comedy, Romance, Life",20,#11200,#5519,7.22,Wanan (Story & Art)
My S-Class Hunters,Publishing,"Action, Adventure, Fantasy",71,#2970,#5554,7.22,"Biwan (Art), Geunseo (Story)"
I'll Save This Damned Family!,Publishing,Fantasy,12,#14813,#5555,7.22,"Munirang (Story), Nu (Art)"
The Esper's Game,Publishing,Action,12,#6115,#5556,7.22,"Niccolo (Story), Plan A (Art)"
Returning With Absolutely Nothing,Publishing,"Action, Fantasy",10,#6657,#5557,7.22,"Mongma (Story), Gangaji Master (Art)"
The Girl from Class,Finished,"Romance, Life",18,#7039,#5529,7.22,"Park, Subong (Story & Art)"
"Do You Remember, Mogwa?",Finished,"Romance, Life",9,#7714,#5679,7.21,"Han, Yu-Rang (Story & Art)"
Pellua Iyagi,Publishing,Fantasy,13,#14341,#5694,7.21,"Kim, Yeon-Joo (Story & Art)"
Hell Is Other People,Finished,Horror,15,#15217,#5674,7.21,"Kim, Yong-ki (Story & Art)"
Rure,Publishing,"Adventure, Fantasy",6,#12778,#5620,7.21,"Seo, Moon Da Mi (Story & Art)"
Bring it on!,Finished,"Comedy, Romance",8,#9746,#5625,7.21,"Baek, Hye-Kyung (Story & Art)"
"They, Too, Love",Finished,"Comedy, Drama",5,#17527,#5635,7.21,"Seo, Moon Da Mi (Story & Art)"
Do-Re-Mi-Fa-Sol-La-Si-Do,Publishing,"Comedy, Drama, Romance",6,#13074,#5645,7.21,"Gui, Yeoni (Story), Lee, Kyung-ha (Art)"
Nocturne,Publishing,"Drama, Romance, Life",8,#10826,#5652,7.21,"Park, Eun Ah (Story & Art)"
Villain to Kill,Publishing,Action,63,#2916,#5732,7.21,"Fupin (Story), Eunji (Art)"
"Painful, but Desirable",Finished,Romance,3,#24326,#5733,7.21,"Chae, Rangbi (Story), Kim, Injeong (Art)"
Cassmire: The Loyal Sword,Publishing,Fantasy,9,#12319,#5736,7.21,"Si-ion (Story), ilye (Art)"
Flawed Almighty,Publishing,"Drama, Supernatural",7,#11499,#5739,7.2,"Kim, Carnby (Story), Song, Rae-hyeon (Art)"
A Talented Maid,Publishing,"Fantasy, Romance",10,#8602,#5741,7.2,"Yuin (Story), Sanho (Art)"
The Great Wish,Finished,"Drama, Fantasy, Romance",2,#14512,#5742,7.2,"Haneul Garigi (Story), Narae (Art)"
The Player Who Can't Level Up,Publishing,"Action, Adventure, Fantasy",53,#1697,#5743,7.2,"GaVinGe (Story), Park, Jeongjae (Art)"
Mookhyang: The Origin,Finished,"Action, Adventure, Fantasy",6,#11885,#5744,7.2,"Jeon, Dong-jo (Story), Silva (Art)"
Just for a Meowment,Finished,"Romance, Supernatural",6,#15327,#5745,7.2,Kkanaria (Story & Art)
Lethal Romance,Finished,"Action, Comedy, Romance",4,#21148,#5746,7.2,Grrr (Story & Art)
Hectopascal,Publishing,Action,5,#10751,#5747,7.2,"Buffering (Story), Gil, Seonggeun (Art)"
The Knight and Her Emperor,Publishing,"Drama, Fantasy, Romance",34,#5553,#5827,7.2,"Gyeoul (Art), Heyum (Art), An-gyeong Wonsung-i (Story)"
Yongbyeong Maluhan,Finished,"Action, Fantasy",8,#7543,#5830,7.2,"Kim, Byung Jin (Story & Art)"
