title,status,genres,favorites,popularity,rank,score,authors
See No Evil,Finished,Suspense,2,#25898,#14208,6.57,"Gwangtanto (Story), Maduru (Art)"
Read to Level Up,Finished,Supernatural,0,#19143,#14212,6.56,"Hyung, Sangjun (Story), Lee, Jiwon (Art)"
I Choose the Emperor Ending,Finished,"Fantasy, Romance",0,#12336,#14213,6.56,"Kim, Suo (Story), Jaragae (Art)"
Lady Beast,Finished,"Fantasy, Romance",1,#16145,#14214,6.56,"Yoo, Suwan (Story), Now (Art)"
The Final Raid Boss,Publishing,"Action, Fantasy",1,#22569,#14216,6.56,"Kim, Janghun (Story), Ha, Seongshin (Art)"
The Reason She Lives as a Villainess,Finished,"Fantasy, Romance",1,#11806,#14217,6.56,"Yuwn (Story), Beopsaeng (Art)"
Crab Kiss,Finished,"Comedy, Drama, Romance",4,#17223,#14275,6.56,"Hwang, Mi Ri (Story & Art)"
The Gamer,Publishing,"Action, Fantasy",34,#3388,#14444,6.54,"Seong, Sangyoung (Story), Sangah (Art)"
My BFF Is a Tyrant in Training,Publishing,"Fantasy, Romance",1,#15238,#14445,6.54,"Rangchae (Story), Jeongsun (Art)"
The Lazy Swordmaster,Publishing,"Action, Fantasy",2,#9763,#14446,6.54,"Maru Gongbang (Art), Chorokcha (Story)"
My Insanely Competent Underlings,Publishing,"Action, Adventure, Comedy, Fantasy",1,#14884,#14448,6.54,"Ant Studio (Art), NoCount (Story)"
Deep,Finished,"Drama, Horror, Mystery, Supernatural, Suspense",1,#14590,#14470,6.54,"Kim, Tae Heon (Art), Towoo (Story)"
50 Million Km,Finished,"Comedy, Drama, Fantasy, Romance, Sci-Fi",4,#8996,#14487,6.54,"Park, Jin Woo (Story), Thor (Art)"
Lady to Queen,Finished,"Drama, Fantasy, Romance",5,#10893,#14520,6.54,"MUSO (Story), Kim, So-hyun (Art)"
Cafe Occult,Finished,"Drama, Horror, Supernatural",12,#14031,#14564,6.53,"Ghun, Oh Rhe Bar (Story), Ahn, No-Uhn (Art)"
I Became the Villain's Mother,Publishing,"Fantasy, Romance",10,#6407,#14594,6.53,"Yulji (Story), Iro (Art)"
How to Survive a Romance Fantasy,Finished,"Comedy, Fantasy",6,#13640,#14596,6.53,Singnanda (Story & Art)
